City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,292.28,79,96,6.68,PN,1691119029
1,port-aux-francais,-49.35,70.2167,275.64,92,60,15.97,TF,1691119029
2,acapulco de juarez,16.8634,-99.8901,302.05,79,75,3.09,MX,1691119029
3,wailua homesteads,22.0669,-159.378,301.59,75,40,7.2,US,1691119030
4,krasnogvardeyskoye,45.8456,41.5186,293.27,80,3,1.67,RU,1691119030
5,kudat,6.8837,116.8477,305.11,70,20,2.68,MY,1691119030
6,gardabani,41.4605,45.0928,294.2,86,100,2.44,GE,1691119030
7,constantia,44.1833,28.65,296.53,82,0,3.08,RO,1691118845
8,melo,-32.3667,-54.1833,283.34,77,88,3.88,UY,1691119031
9,puerto natales,-51.7236,-72.4875,275.84,78,91,8.76,CL,1691119031
10,paita,-5.0892,-81.1144,295.04,83,0,6.52,PE,1691119031
11,papatowai,-46.5619,169.4708,281.55,94,100,7.22,NZ,1691119032
12,iskateley,67.6803,53.1512,295.95,60,2,1.97,RU,1691119032
13,college,64.8569,-147.8028,300.14,37,75,2.57,US,1691118838
14,ushuaia,-54.8,-68.3,272.96,100,100,8.75,AR,1691118825
15,kamina,-8.7386,24.9906,287.92,58,2,2.1,CD,1691119033
16,bilibino,68.0546,166.4372,283.78,94,100,0.25,RU,1691119033
17,howrah,22.5892,88.3103,304.15,79,40,4.12,IN,1691119033
18,klyuchi,52.2667,79.1667,298.53,47,7,0.51,RU,1691119034
19,kismayo,-0.3582,42.5454,297.02,83,77,6.79,SO,1691119034
20,blackmans bay,-43.0167,147.3167,288.22,84,100,5.27,AU,1691119034
21,mangalia,43.8,28.5833,296.88,84,0,2.52,RO,1691119034
22,tolanaro,-25.0319,46.9987,292.06,68,95,6.04,MG,1691119035
23,santa flavia,38.085,13.5351,300.05,55,0,0.91,IT,1691119035
24,qamdo,31.1667,97.2333,283.94,68,100,1.49,CN,1691119035
25,sitka,57.0531,-135.33,292.09,68,40,2.06,US,1691119035
26,coquimbo,-29.9533,-71.3436,288.0,82,100,1.54,CL,1691118787
27,geraldton,-28.7667,114.6,288.38,63,0,4.63,AU,1691119036
28,avarua,-21.2078,-159.775,296.18,78,100,3.09,CK,1691119036
29,bethel,41.3712,-73.414,295.24,74,40,3.6,US,1691118851
30,kisanga,-7.4362,37.7034,292.94,80,83,0.59,TZ,1691119037
31,olonkinbyen,70.9221,-8.7187,277.31,94,100,9.64,SJ,1691119037
32,grytviken,-54.2811,-36.5092,267.8,77,34,5.02,GS,1691119037
33,ancud,-41.8697,-73.8203,278.98,77,67,1.62,CL,1691119037
34,uribia,11.7139,-72.266,302.04,67,6,5.58,CO,1691119038
35,hawaiian paradise park,19.5933,-154.9731,300.88,76,40,4.63,US,1691119038
36,fisterra,42.9049,-9.2629,287.45,74,4,7.23,ES,1691119038
37,edinburgh of the seven seas,-37.0676,-12.3116,284.84,76,100,19.09,SH,1691119039
38,mombetsu,44.3525,143.3525,304.16,66,75,6.69,JP,1691119039
39,las khorey,11.1595,48.1967,304.55,47,100,7.52,SO,1691119039
40,new norfolk,-42.7826,147.0587,288.87,90,100,2.03,AU,1691119039
41,margate,51.3813,1.3862,288.64,83,67,0.89,GB,1691119040
42,invercargill,-46.4,168.35,282.05,94,100,4.02,NZ,1691119040
43,chonchi,-42.6128,-73.8092,277.66,92,61,1.21,CL,1691119040
44,ocean shores,46.9737,-124.1563,292.84,86,0,5.14,US,1691119040
45,nemuro,43.3236,145.575,294.08,87,90,8.65,JP,1691119041
46,acarau,-2.8856,-40.12,298.38,85,55,5.9,BR,1691119041
47,ambajogai,18.7333,76.3833,297.64,76,100,8.41,IN,1691119041
48,hamilton,39.1834,-84.5333,297.62,77,0,1.54,US,1691119041
49,montepuez,-13.1256,38.9997,288.76,79,0,2.9,MZ,1691119042
50,rio preto da eva,-2.6994,-59.6997,296.71,84,82,0.94,BR,1691119042
51,west island,-12.1568,96.8225,299.14,78,100,8.23,CC,1691119042
52,ribeira grande,38.5167,-28.7,295.8,86,3,3.13,PT,1691119042
53,mossel bay,-34.1831,22.146,296.11,51,76,5.93,ZA,1691119043
54,shimoda,34.6667,138.95,308.21,69,5,6.35,JP,1691119043
55,khovd,48.0056,91.6419,297.55,28,0,0.75,MN,1691119043
56,jamestown,42.097,-79.2353,294.1,91,0,1.54,US,1691118834
57,panjakent,39.4952,67.6093,300.11,20,0,1.17,TJ,1691119044
58,ryotsu-minato,38.0833,138.4333,304.38,62,1,2.3,JP,1691119044
59,waitangi,-43.9535,-176.5597,285.83,86,27,4.02,NZ,1691119044
60,queenstown,-31.8976,26.8753,280.08,55,6,2.58,ZA,1691119044
61,afaahiti,-17.75,-149.2833,299.08,76,31,4.42,PF,1691119044
62,darwin,-12.4611,130.8418,303.65,46,75,5.81,AU,1691118997
63,tiksi,71.6872,128.8694,277.04,94,100,2.74,RU,1691119045
64,rongelap,11.1635,166.8941,299.49,85,100,4.7,MH,1691119045
65,nagqu,31.5,92.0,282.27,83,100,2.37,CN,1691119045
66,vadso,70.0744,29.7487,290.64,88,0,4.63,NO,1691119046
67,chigorodo,7.6664,-76.6811,298.33,94,86,0.52,CO,1691119046
68,palikir - national government center,6.9248,158.1611,304.56,74,75,2.06,FM,1691119046
69,yellowknife,62.456,-114.3525,293.44,64,75,2.57,CA,1691119047
70,puerto quijarro,-17.7833,-57.7667,297.89,31,0,0.97,BO,1691119047
71,salinopolis,-0.6136,-47.3561,299.09,85,32,4.64,BR,1691119047
72,baki,-7.6128,110.7839,303.06,51,3,5.79,ID,1691119047
73,east london,-33.0153,27.9116,291.67,36,0,3.6,ZA,1691119048
74,eirunepe,-6.6603,-69.8736,298.48,64,61,1.17,BR,1691119048
75,byron bay,-28.65,153.6167,291.32,66,84,3.5,AU,1691118901
76,lau,9.2167,11.2833,295.03,96,90,1.86,NG,1691119048
77,taltal,-25.4,-70.4833,288.83,83,17,0.5,CL,1691119049
78,sao sebastiao do paraiso,-20.9169,-46.9914,288.8,43,0,0.86,BR,1691119044
79,linxia chengguanzhen,35.6003,103.2064,294.51,61,92,2.36,CN,1691119049
80,paciran,-6.8767,112.3761,304.36,64,14,1.01,ID,1691119050
81,laramie,41.3114,-105.5911,290.36,75,40,3.6,US,1691118902
82,ambalangoda,6.2355,80.0538,300.41,82,81,5.29,LK,1691119050
83,longyearbyen,78.2186,15.6401,285.06,82,75,4.63,SJ,1691119050
84,mejit,10.2753,170.8646,301.64,75,73,6.04,MH,1691119051
85,pemangkat,1.1667,108.9667,303.3,64,36,3.19,ID,1691119051
86,male,4.1748,73.5089,303.12,79,75,3.09,MV,1691118974
87,ankazoabo,-22.2833,44.5167,288.72,69,1,3.2,MG,1691119051
88,betio village,1.358,172.9211,304.17,70,57,2.46,KI,1691119052
89,swakopmund,-22.6833,14.5333,285.92,87,8,0.89,NA,1691118982
90,ghazni,33.5536,68.4269,297.05,20,0,1.76,AF,1691119052
91,sinabang,2.4803,96.3801,302.0,70,23,1.33,ID,1691119052
92,yaren,-0.5472,166.916,302.17,72,7,3.48,NR,1691119053
93,villamontes,-21.25,-63.5,293.72,48,0,1.5,BO,1691119053
94,talnakh,69.4865,88.3972,293.82,37,62,1.54,RU,1691119054
95,manay,7.215,126.5397,303.71,71,13,4.13,PH,1691119054
96,gao,16.6362,1.637,304.82,42,38,4.13,ML,1691119054
97,kailua-kona,19.6406,-155.9956,302.13,80,40,6.69,US,1691119054
98,puerto ayora,-0.7393,-90.3518,297.9,94,31,2.24,EC,1691119055
99,aoulef,26.9667,1.0833,310.6,9,0,4.54,DZ,1691119055
100,mahibadhoo,3.7833,72.9667,301.2,73,89,2.67,MV,1691119055
101,kone,-21.0595,164.8658,291.63,81,100,4.21,NC,1691119055
102,ebon,4.582,168.6964,302.16,71,73,3.34,MH,1691119056
103,albany,42.6001,-73.9662,293.09,86,62,0.89,US,1691118903
104,seryshevo,51.0933,128.3786,297.22,42,100,3.18,RU,1691119056
105,noyabrsk,63.1994,75.4507,297.72,56,2,6.86,RU,1691119057
106,anadyr,64.75,177.4833,285.43,87,100,4.0,RU,1691119057
107,rio grande,-32.035,-52.0986,286.45,75,79,2.62,BR,1691119057
108,uturoa,-16.7333,-151.4333,299.09,70,19,5.7,PF,1691119057
109,ilulissat,69.2167,-51.1,277.16,93,35,1.03,GL,1691119058
110,aykhal,66.0,111.5,281.55,73,99,4.09,RU,1691119058
111,negombo,7.2083,79.8358,300.35,82,73,5.97,LK,1691119058
112,mata-utu,-13.2816,-176.1745,300.75,75,3,4.76,WF,1691119058
113,mogocha,53.7333,119.7667,295.57,34,100,2.61,RU,1691119059
114,berezovyy,51.6667,135.7,295.48,40,74,3.83,RU,1691119059
115,melekeok village,7.4957,134.6367,303.46,66,75,3.6,PW,1691119059
116,puerto penasco,31.3167,-113.5333,305.32,74,0,1.34,MX,1691119059
117,ugoofaaru,5.6667,73.0,301.47,72,100,5.36,MV,1691119059
118,tara,56.8944,74.371,294.32,78,100,2.68,RU,1691119060
119,sao jose da coroa grande,-8.8978,-35.1478,297.16,66,76,3.42,BR,1691119025
120,pisco,-13.7,-76.2167,290.38,82,0,1.54,PE,1691119060
121,badger,64.8,-147.5333,300.1,38,75,2.57,US,1691119060
122,bowie,33.4501,-94.4335,304.24,77,4,2.74,US,1691119061
123,margaret river,-33.95,115.0667,285.2,68,100,3.55,AU,1691118953
124,benguela,-12.5763,13.4055,292.46,91,2,1.33,AO,1691119061
125,usman',52.0466,39.7288,292.17,73,96,1.54,RU,1691119061
126,nong khai,17.9167,103.0833,299.36,95,100,4.4,TH,1691119061
127,zeya,53.75,127.2667,296.92,31,100,2.98,RU,1691119062
128,sretensk,52.2453,117.7093,297.74,30,100,3.99,RU,1691119062
129,port alfred,-33.5906,26.891,289.36,52,3,2.24,ZA,1691119062
130,dudinka,69.4058,86.1778,294.05,46,29,2.48,RU,1691119062
131,tsiombe,-25.3,45.4833,291.46,63,1,7.55,MG,1691119063
132,sirte,31.2089,16.5887,298.93,71,0,3.24,LY,1691119063
133,ventspils,57.3894,21.5606,290.11,100,100,3.09,LV,1691119063
134,st. john's,47.5649,-52.7093,289.7,80,75,3.6,CA,1691118824
135,al wajh,26.2455,36.4525,300.12,78,0,1.54,SA,1691119063
136,howard springs,-12.497,131.047,303.61,32,16,3.75,AU,1691119064
137,pajok,3.8651,32.4821,291.8,91,86,1.02,SS,1691119064
138,ola,59.5833,151.2833,293.23,65,98,2.57,RU,1691119064
139,bykhaw,53.5193,30.2469,289.06,96,40,2.25,BY,1691119064
140,tura,25.5198,90.2201,298.9,88,100,2.87,IN,1691118781
141,paso de carrasco,-34.8603,-56.0522,283.85,71,0,3.09,UY,1691119065
142,viedma,-40.8135,-62.9967,279.63,39,0,5.53,AR,1691119065
143,whitehorse,60.7161,-135.0538,298.58,35,40,4.12,CA,1691119065
144,bredasdorp,-34.5322,20.0403,287.38,56,100,2.42,ZA,1691119065
145,vallenar,-28.5708,-70.7581,287.58,74,2,0.31,CL,1691119066
146,alta,69.9689,23.2717,289.74,84,40,1.54,NO,1691119066
147,santa ana de yacuma,-13.75,-65.4333,298.94,38,0,2.18,BO,1691119066
148,bridgewater,44.3835,-64.5155,287.97,89,38,0.51,CA,1691119066
149,galliano,29.4422,-90.2992,302.59,78,40,2.06,US,1691119066
150,stanley,54.868,-1.6985,286.0,92,100,1.83,GB,1691118980
151,colonia,50.9333,6.95,288.51,85,75,3.09,DE,1691118799
152,kharan,28.5833,65.4167,306.8,31,6,1.9,PK,1691119067
153,arbus,39.5272,8.5994,295.06,80,14,3.42,IT,1691119067
154,hami,42.8,93.45,306.31,18,100,6.52,CN,1691119068
155,punta arenas,-53.15,-70.9167,274.71,78,48,13.81,CL,1691119068
156,west bay,19.3667,-81.4167,302.19,88,40,0.0,KY,1691119068
157,kikwit,-5.041,18.8162,295.53,39,12,0.93,CD,1691119068
158,kodiak,57.79,-152.4072,286.88,82,100,1.54,US,1691119068
159,razole,16.4833,81.8333,302.66,68,62,4.71,IN,1691119069
160,callao,-12.0667,-77.15,293.31,77,40,4.63,PE,1691119069
161,carutapera,-1.195,-46.02,298.53,86,70,3.25,BR,1691119069
162,kuqa,41.7278,82.9364,303.3,19,0,0.43,CN,1691119070
163,susuman,62.7833,148.1667,290.22,29,85,8.81,RU,1691119070
164,georgetown,5.4112,100.3354,305.34,74,20,4.63,MY,1691118841
165,daru,-9.0763,143.2092,300.0,67,44,7.49,PG,1691119070
166,saipan,15.1355,145.701,304.54,100,75,3.6,MP,1691119044
167,bereznik,62.8551,42.7072,291.86,84,13,2.24,RU,1691119071
168,thompson,55.7435,-97.8558,292.24,77,75,1.03,CA,1691119030
169,felipe carrillo puerto,19.5833,-88.05,297.95,94,95,0.67,MX,1691118925
170,mogadishu,2.0371,45.3438,297.24,86,83,8.02,SO,1691119071
171,floro,61.5996,5.0328,286.19,88,75,7.72,NO,1691119072
172,luderitz,-26.6481,15.1594,287.12,59,58,2.93,NA,1691119072
173,ust-nera,64.5667,143.2,293.63,33,27,3.17,RU,1691119072
174,altai,46.3722,96.2583,291.61,46,100,5.45,MN,1691119072
175,dhamar,14.5427,44.4051,290.45,72,80,2.63,YE,1691119073
176,freetown,8.484,-13.2299,297.85,88,100,2.07,SL,1691119073
177,walvis bay,-22.9575,14.5053,285.98,93,1,1.92,NA,1691119073
178,pauini,-7.7136,-66.9764,299.51,56,42,0.39,BR,1691119073
179,huinan,42.6225,126.2614,300.83,79,100,6.02,CN,1691119073
180,saint-philippe,-21.3585,55.7679,293.92,86,68,8.1,RE,1691119074
181,sassandra,4.95,-6.0833,296.57,91,99,1.78,CI,1691119074
182,argo,37.6333,22.7333,296.92,59,0,1.25,GR,1691119074
183,atafu village,-8.5421,-172.5159,301.42,75,100,6.34,TK,1691119074
184,bikenibeu village,1.3673,173.1241,304.13,70,75,1.54,KI,1691119075
185,minas de marcona,-15.2119,-75.1103,285.83,81,21,2.28,PE,1691119075
186,hasaki,35.7333,140.8333,311.65,73,32,7.94,JP,1691119075
187,san antonio de pale,-1.4014,5.6325,295.1,79,51,4.93,GQ,1691119075
188,dwarka,22.2394,68.9678,300.79,83,100,7.86,IN,1691119076
189,jidong,45.2167,131.0833,291.9,97,100,2.05,CN,1691119076
190,happy valley-goose bay,53.3168,-60.3315,290.32,67,75,1.03,CA,1691118910
191,utena,55.5,25.6,288.4,90,13,4.9,LT,1691119076
192,qui nhon,13.7667,109.2333,304.32,62,100,6.12,VN,1691119077
193,arraias,-12.9288,-46.9437,294.89,41,23,1.83,BR,1691119077
194,cozumel,20.5083,-86.9458,303.12,91,98,1.79,MX,1691118854
195,labrador city,52.9463,-66.9114,286.1,82,100,2.06,CA,1691119077
196,dunedin,-45.8742,170.5036,286.37,51,100,0.45,NZ,1691118915
197,kudahuvadhoo,2.6708,72.8944,301.09,69,85,1.05,MV,1691119078
198,arar,30.9753,41.0381,301.16,18,0,4.63,SA,1691119078
199,greymouth,-42.4667,171.2,282.68,80,100,0.23,NZ,1691119078
200,tomohon,1.3346,124.8392,302.67,57,11,0.98,ID,1691119078
201,hobyo,5.3505,48.5268,297.88,77,69,9.92,SO,1691119079
202,buka,40.8108,69.1986,301.2,19,2,2.18,UZ,1691119079
203,kavieng,-2.5744,150.7967,301.36,77,90,5.37,PG,1691119079
204,atambua,-9.1061,124.8925,301.92,48,1,1.55,ID,1691119079
205,hithadhoo,-0.6,73.0833,301.09,74,94,4.18,MV,1691119079
206,san juan de los morros,9.9115,-67.3538,295.14,94,100,0.71,VE,1691119080
207,hotan,37.0997,79.9269,302.25,27,4,2.66,CN,1691119080
208,mason city,43.1536,-93.201,298.2,81,40,0.0,US,1691119037
209,hadibu,12.65,54.0333,299.19,78,100,12.07,YE,1691119080
210,aras-asan,8.8908,126.3033,303.54,66,4,2.22,PH,1691119081
211,nar'yan-mar,67.6713,53.087,295.99,60,3,1.97,RU,1691119081
212,fale old settlement,-9.3852,-171.2468,301.5,72,45,5.97,TK,1691119081
213,kingston,17.997,-76.7936,302.68,85,20,3.6,JM,1691118878
214,northam,51.0333,-4.2167,288.52,85,18,7.68,GB,1691119082
215,talodi,10.6325,30.3797,295.74,90,100,0.85,SD,1691119082
216,isafjordur,66.0755,-23.124,283.42,76,89,0.67,IS,1691119082
217,greenville,35.6127,-77.3663,298.24,79,100,1.54,US,1691119082
218,mohr,54.3528,9.7167,289.32,90,11,3.09,DE,1691119083
219,al ghayzah,16.2079,52.176,299.21,84,95,2.9,YE,1691119083
220,san luis de la loma,17.2706,-100.8939,298.66,91,100,2.76,MX,1691119083
221,weno,7.4515,151.8468,302.14,73,91,4.13,FM,1691119084
222,sao gabriel da cachoeira,-0.1303,-67.0892,295.4,99,95,0.6,BR,1691119084
223,sao miguel do araguaia,-13.275,-50.1628,297.6,36,96,1.36,BR,1691119084
224,trenton,40.217,-74.7429,296.25,73,100,3.6,US,1691118967
225,prince rupert,54.3161,-130.3201,291.2,82,0,4.12,CA,1691118842
226,kuching,1.55,110.3333,306.55,70,20,3.6,MY,1691119085
227,udachny,66.4167,112.4,282.29,93,99,2.55,RU,1691119085
228,loreto,22.2667,-101.9667,292.76,61,78,9.21,MX,1691119085
229,enewetak,11.3474,162.3373,302.11,75,23,6.18,MH,1691119085
230,kalawit,8.0667,122.5167,303.99,68,14,3.5,PH,1691119086
231,ishigaki,24.3448,124.1572,301.22,94,75,8.23,JP,1691119086
232,utrik,11.2278,169.8474,301.88,75,68,6.1,MH,1691119086
233,turpan,42.9333,89.1667,311.71,16,58,4.23,CN,1691119086
234,palu,-0.8917,119.8707,305.78,56,8,1.02,ID,1691119087
235,mount isa,-20.7333,139.5,299.02,34,5,7.72,AU,1691119087
236,nantucket,41.2835,-70.0995,294.27,72,0,4.12,US,1691118992
237,khandyga,62.6667,135.6,297.69,39,0,1.63,RU,1691119087
238,manzanares,38.9991,-3.3699,294.57,69,1,4.02,ES,1691119087
239,san patricio,28.017,-97.5169,303.25,71,63,6.46,US,1691119088
240,belyy yar,53.6039,91.3903,292.09,100,40,3.0,RU,1691119088
241,vikhorevka,56.1201,101.1636,293.92,56,94,1.29,RU,1691119088
242,makokou,0.5738,12.8642,294.48,87,100,1.12,GA,1691119088
243,copala,16.65,-98.9833,298.81,87,100,1.94,MX,1691119089
244,malango,-2.9627,119.9001,301.24,56,11,2.08,ID,1691119089
245,smithers,54.7804,-127.1743,294.33,52,20,2.06,CA,1691119089
246,manadhoo,5.7667,73.3833,300.95,76,100,5.17,MV,1691119089
247,orange beach,30.2944,-87.5736,304.34,71,0,2.57,US,1691119083
248,forio,40.7342,13.8646,297.88,89,0,0.45,IT,1691119090
249,lazaro cardenas,17.9583,-102.2,300.4,80,100,2.36,MX,1691119090
250,port mathurin,-19.6833,63.4167,296.38,69,21,9.97,MU,1691119091
251,eforie sud,44.0229,28.6494,296.6,84,0,3.05,RO,1691119091
252,vorgashor,67.5833,63.95,296.12,61,39,2.04,RU,1691119091
253,santa elena de uairen,4.6167,-61.1333,292.66,93,94,0.83,VE,1691119091
254,sungailiat,-1.85,106.1333,302.84,67,99,6.37,ID,1691119091
255,lata,40.1629,-8.3327,287.64,89,3,1.94,PT,1691119092
256,carnarvon,-24.8667,113.6333,290.4,52,0,9.34,AU,1691118806
257,alice springs,-23.7,133.8833,299.9,24,0,2.06,AU,1691119092
258,cole harbour,44.6724,-63.4751,287.81,91,62,0.0,CA,1691119093
259,port lincoln,-34.7333,135.8667,285.65,65,100,7.75,AU,1691119093
260,westport,41.1415,-73.3579,296.53,75,100,4.63,US,1691118907
261,salalah,17.0151,54.0924,298.2,100,100,4.12,OM,1691118878
262,arias,-33.6441,-62.4027,281.17,44,90,2.43,AR,1691119094
263,ulubey,40.8721,37.7588,291.22,89,0,1.95,TR,1691119094
264,qingquan,30.4511,115.2559,306.83,62,9,1.55,CN,1691119095
265,vorkuta,67.5,64.0,296.18,61,33,2.23,RU,1691119095
266,hilo,19.7297,-155.09,302.19,76,40,4.63,US,1691119095
267,iqaluit,63.7506,-68.5145,281.0,87,75,1.54,CA,1691119095
268,harper,4.375,-7.7169,297.17,87,100,3.75,LR,1691119095
269,aasiaat,68.7098,-52.8699,273.01,96,76,1.43,GL,1691119096
270,arraial do cabo,-22.9661,-42.0278,293.87,87,0,4.94,BR,1691119096
271,nha trang,12.25,109.1833,307.15,58,100,1.76,VN,1691119096
272,moratuwa,6.773,79.8816,300.45,81,83,4.61,LK,1691119096
273,la ronge,55.1001,-105.2842,292.29,88,100,4.63,CA,1691119097
274,bubaque,11.2833,-15.8333,299.24,85,100,3.1,GW,1691119097
275,lebu,-37.6167,-73.65,280.2,73,4,7.27,CL,1691119097
276,thunder bay,48.4001,-89.3168,294.14,64,20,1.54,CA,1691119020
277,qaqortoq,60.7167,-46.0333,278.9,87,12,1.66,GL,1691119098
278,nova sintra,14.8667,-24.7167,296.17,78,59,2.53,CV,1691119098
279,cockburn town,21.4612,-71.1419,301.99,76,42,6.58,TC,1691118997
280,okha,53.5739,142.9478,288.45,78,99,5.78,RU,1691119098
281,filadelfia,39.9523,-75.1638,295.96,78,100,4.12,US,1691118837
282,vila franca do campo,37.7167,-25.4333,295.38,89,38,3.5,PT,1691119099
283,del rio,29.3627,-100.8968,309.21,35,0,7.15,US,1691118804
284,tannum sands,-23.9504,151.3693,297.09,43,75,6.69,AU,1691118855
285,sao vicente,-23.9631,-46.3919,295.25,26,0,0.45,BR,1691119011
286,lionel town,17.8101,-77.2406,303.09,85,86,0.94,JM,1691119100
287,collie,-33.3667,116.15,285.91,52,9,1.06,AU,1691119100
